Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
32719265,6/22/2017 23:32,6/23/2017 0:50,70220,4668,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32719298,6/22/2017 23:36,6/22/2017 23:51,70235,894,1033,Ivy St & Walnut St   ,1031,Maryland Ave & Ellsworth Ave,Subscriber
32719330,6/22/2017 23:38,6/23/2017 0:48,70019,4221,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32719386,6/22/2017 23:44,6/23/2017 0:12,70375,1686,1019,42nd St & Butler St,1043,Coltart Ave & Forbes Ave,Customer
32719439,6/22/2017 23:49,6/23/2017 1:06,70144,4619,1045,S 27th St & Sidney St. (Southside Works),1061,33rd St and Penn Ave,Customer
32719441,6/22/2017 23:49,6/23/2017 1:07,70140,4655,1045,S 27th St & Sidney St. (Southside Works),1061,33rd St and Penn Ave,Customer
32719702,6/23/2017 0:13,6/23/2017 1:15,70109,3763,1048,S 18th St & Sidney St,1008,Centre Ave & PPG Paints Arena,Customer
32719913,6/23/2017 0:24,6/23/2017 1:17,70369,3162,1008,Centre Ave & PPG Paints Arena,1008,Centre Ave & PPG Paints Arena,Customer
32721197,6/23/2017 1:14,6/23/2017 1:34,70392,1180,1011,Fort Duquesne Blvd & 7th St,1015,Federal St & E North Ave,Customer
32721222,6/23/2017 1:15,6/23/2017 1:33,70053,1090,1011,Fort Duquesne Blvd & 7th St,1015,Federal St & E North Ave,Customer
32722752,6/23/2017 2:01,6/23/2017 2:12,70109,647,1008,Centre Ave & PPG Paints Arena,1048,S 18th St & Sidney St,Customer
32724712,6/23/2017 2:53,6/23/2017 4:28,70019,5725,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32724794,6/23/2017 2:54,6/23/2017 4:26,70107,5525,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32724834,6/23/2017 2:55,6/23/2017 4:28,70220,5554,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32724947,6/23/2017 2:59,6/23/2017 3:21,70057,1312,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32725316,6/23/2017 3:10,6/23/2017 4:20,70350,4202,1001,Forbes Ave & Market Square,1000,Liberty Ave & Stanwix St,Customer
32725612,6/23/2017 3:21,6/23/2017 4:26,70359,3907,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
32728237,6/23/2017 4:54,6/23/2017 5:03,70238,498,1023,Liberty Ave & Baum Blvd,1020,42nd & Penn Ave.,Subscriber
32730375,6/23/2017 5:56,6/23/2017 5:57,20438,63,99095,nextbike IT Elsterstr.,99095,nextbike IT Elsterstr.,Subscriber
32730486,6/23/2017 5:59,6/23/2017 6:08,20438,496,99095,nextbike IT Elsterstr.,99095,nextbike IT Elsterstr.,Subscriber
32731005,6/23/2017 6:13,6/23/2017 6:23,70113,632,1003,First Ave & Smithfield St (Art Institute),1017,21st St & Penn Ave,Subscriber
32731137,6/23/2017 6:16,6/23/2017 13:26,20438,25822,99095,nextbike IT Elsterstr.,99095,nextbike IT Elsterstr.,Subscriber
32732482,6/23/2017 6:53,6/23/2017 7:05,70037,728,1017,21st St & Penn Ave,1001,Forbes Ave & Market Square,Subscriber
32732824,6/23/2017 7:00,6/23/2017 7:07,70464,373,1049,S 12th St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Customer
32733180,6/23/2017 7:08,6/23/2017 7:14,70275,377,1037,Frew St & Schenley Dr,1038,Boulevard of the Allies & Parkview Ave,Subscriber
32733208,6/23/2017 7:09,6/23/2017 7:11,70398,131,1032,Walnut St & College St,1033,Ivy St & Walnut St   ,Subscriber
32734282,6/23/2017 7:33,6/23/2017 18:08,70338,38103,1016,17th St & Penn Ave,1001,Forbes Ave & Market Square,Customer
32735708,6/23/2017 8:00,6/23/2017 8:14,70378,838,1039,Atwood St & Bates St,1007,Stevenson St & Forbes Ave,Subscriber
32735790,6/23/2017 8:01,6/23/2017 8:08,70038,391,1039,Atwood St & Bates St,1041,Fifth Ave & S Bouquet St,Subscriber
32736063,6/23/2017 8:07,6/23/2017 8:23,70498,991,1049,S 12th St & E Carson St,1013,Isabella St & Federal St (PNC Park),Subscriber
32736365,6/23/2017 8:12,6/23/2017 8:58,70317,2760,1045,S 27th St & Sidney St. (Southside Works),1045,S 27th St & Sidney St. (Southside Works),Customer
32737666,6/23/2017 8:35,6/23/2017 8:44,70156,538,1049,S 12th St & E Carson St,1002,Third Ave & Wood St,Subscriber
32738090,6/23/2017 8:42,6/23/2017 8:56,70231,790,1032,Walnut St & College St,1037,Frew St & Schenley Dr,Subscriber
32738276,6/23/2017 8:46,6/23/2017 8:58,70320,729,1047,S 22nd St & E Carson St,1003,First Ave & Smithfield St (Art Institute),Customer
32738325,6/23/2017 8:47,6/23/2017 9:03,70230,977,1046,S 25th St & E Carson St,1002,Third Ave & Wood St,Subscriber
32738353,6/23/2017 8:48,6/23/2017 9:23,70310,2112,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738366,6/23/2017 8:48,6/23/2017 8:57,70146,537,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738383,6/23/2017 8:48,6/23/2017 8:51,70343,202,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738426,6/23/2017 8:49,6/23/2017 9:06,70133,1028,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738447,6/23/2017 8:49,6/23/2017 9:03,70388,810,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738484,6/23/2017 8:50,6/23/2017 9:04,70195,824,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738573,6/23/2017 8:51,6/23/2017 9:18,70119,1634,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738588,6/23/2017 8:51,6/23/2017 9:19,70175,1628,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738616,6/23/2017 8:52,6/23/2017 9:16,70456,1450,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738647,6/23/2017 8:52,6/23/2017 9:20,70199,1677,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738658,6/23/2017 8:52,6/23/2017 9:08,70016,950,1044,Zulema St & Coltart Ave,1046,S 25th St & E Carson St,Subscriber
32738671,6/23/2017 8:53,6/23/2017 9:13,70203,1196,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738692,6/23/2017 8:53,6/23/2017 9:08,70341,919,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32738812,6/23/2017 8:55,6/23/2017 8:58,70343,183,1010,10th St & Penn Ave (David L. Lawrence Convention Center),1010,10th St & Penn Ave (David L. Lawrence Convention Center),Customer
32739138,6/23/2017 9:00,6/23/2017 9:18,70006,1032,1046,S 25th St & E Carson St,1003,First Ave & Smithfield St (Art Institute),Subscriber
